Tipo,Valor,Registro,Ex,Pagamento
JCP,"0,146136",02/06/2025,03/06/2025,22/09/2025
Dividendo,"0,308447",02/06/2025,03/06/2025,22/09/2025
JCP,"0,454583",02/06/2025,03/06/2025,20/08/2025
Dividendo,"0,354773",16/04/2025,17/04/2025,20/06/2025
Dividendo,"0,354773",16/04/2025,17/04/2025,20/05/2025
Dividendo,"0,021525",16/04/2025,17/04/2025,20/05/2025
Dividendo,"0,017061",23/12/2024,26/12/2024,20/03/2025
JCP,"0,664103",23/12/2024,26/12/2024,20/02/2025
Dividendo,"0,000275",23/12/2024,26/12/2024,20/03/2025
Dividendo,"0,011348",23/12/2024,26/12/2024,20/02/2025
Dividendo,"0,653565",23/12/2024,26/12/2024,20/03/2025
JCP,"0,010538",23/12/2024,26/12/2024,20/03/2025
Dividendo,"1,551743",11/12/2024,12/12/2024,23/12/2024
JCP,"0,412752",21/08/2024,22/08/2024,21/11/2024
Dividendo,"0,113848",21/08/2024,22/08/2024,21/11/2024
Dividendo,"0,526600",21/08/2024,22/08/2024,20/12/2024
JCP,"0,521621",11/06/2024,12/06/2024,20/08/2024
Dividendo,"0,448067",11/06/2024,12/06/2024,20/09/2024
JCP,"0,073554",11/06/2024,12/06/2024,20/09/2024
Dividendo,"0,849628",02/05/2024,03/05/2024,20/05/2024
Dividendo,"0,849628",02/05/2024,03/05/2024,20/06/2024
Dividendo,"0,042218",02/05/2024,03/05/2024,20/06/2024
Dividendo,"0,034548",02/05/2024,03/05/2024,20/05/2024
Dividendo,"0,550158",25/04/2024,26/04/2024,20/05/2024
Dividendo,"0,022371",25/04/2024,26/04/2024,20/05/2024
Dividendo,"0,027337",25/04/2024,26/04/2024,20/06/2024
Dividendo,"0,550158",25/04/2024,26/04/2024,20/06/2024
JCP,"0,429387",21/11/2023,22/11/2023,20/02/2024
Dividendo,"0,243287",21/11/2023,22/11/2023,20/02/2024
Dividendo,"0,672674",21/11/2023,22/11/2023,20/03/2024
Dividendo,"0,009930",21/11/2023,22/11/2023,20/02/2024
JCP,"0,365476",21/08/2023,22/08/2023,21/11/2023
Dividendo,"0,209176",21/08/2023,22/08/2023,21/11/2023
Dividendo,"0,574652",21/08/2023,22/08/2023,15/12/2023
Dividendo,"0,946788",12/06/2023,13/06/2023,20/09/2023
Dividendo,"0,278179",12/06/2023,13/06/2023,18/08/2023
JCP,"0,668609",12/06/2023,13/06/2023,18/08/2023
Dividendo,"0,067845",27/04/2023,28/04/2023,19/05/2023
Dividendo,"0,874799",27/04/2023,28/04/2023,16/06/2023
Dividendo,"1,372867",27/04/2023,28/04/2023,19/05/2023
Dividendo,"0,562500",27/04/2023,28/04/2023,27/12/2023
Dividendo,"0,052131",27/04/2023,28/04/2023,16/06/2023
Dividendo,"1,600192",21/11/2022,22/11/2022,19/01/2023
Dividendo,"1,155823",21/11/2022,22/11/2022,20/12/2022
JCP,"0,074258",21/11/2022,22/11/2022,19/01/2023
JCP,"0,518627",21/11/2022,22/11/2022,20/12/2022
Dividendo,"0,000529",21/11/2022,22/11/2022,19/01/2023
Dividendo,"0,011415",21/11/2022,22/11/2022,19/01/2023
JCP,"0,427141",11/08/2022,12/08/2022,31/08/2022
Dividendo,"2,938861",11/08/2022,12/08/2022,31/08/2022
Dividendo,"3,366001",11/08/2022,12/08/2022,20/09/2022
JCP,"0,430177",23/05/2022,24/05/2022,20/06/2022
Dividendo,"1,427568",23/05/2022,24/05/2022,20/06/2022
Dividendo,"1,857745",23/05/2022,24/05/2022,20/07/2022
